Flight number,Status
1,Failure
2,Failure
3,Failure
4,Success
5,Success
6,Success
7,Success
8,Success
9,Success
10,Success
11,Success
12,Success
13,Success
14,Success
15,Success
16,Success
17,Success
18,Success
19,Success
20,Success
21,Success
22,Success
23,Success
24,Failure
25,Success
26,Success
27,Success
28,Success
29,Success
30,Success
31,Success
32,Success
33,Success
34,Failure
35,Success
36,Success
37,Success
38,Success
39,Success
40,Success
41,Success
42,Success
43,Success
44,Success
45,Success
46,Success
47,Success
48,Success
49,Success
50,Success
51,Success
52,Success
53,Success
54,Success
55,Success
56,Success
57,Success
58,Success
59,Success
60,Success
61,Success
62,Success
63,Success
64,Success
65,Success
66,Success
67,Success
68,Success
69,Success
70,Success
71,Success
72,Success
73,Success
74,Success
75,Success
76,Success
77,Success
78,Success
79,Success
80,Success
81,Success
82,Success
83,Success
84,Success
85,Success
86,Success
